,Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Anchor,Industry,Business Description,Started in,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Amit Present,Ashneer Present,Guest Present
0,1,BluePineFoods,1,1,2021-12-20,2022-02-04,Rannvijay Singh,Food,Frozen Momos,2016.0,3,2.0,1.0,0.0,0.0,Middle,Delhi,Delhi,95.0,8.0,50.0,5.0,1000.0,1,1.0,75.0,16.0,0.0,0.0,469.0,3.0,no,0.0,0.0,0.0,0.0,0.0,25.0,5.33,0.0,0.0,0.0,0.0,25.0,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.33,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
1,1,BoozScooters,1,2,2021-12-20,2022-02-04,Rannvijay Singh,Vehicles/Electrical Vehicles,Renting e-bike for mobility in private spaces,2017.0,1,1.0,0.0,0.0,0.0,Young,Ahmedabad,Gujarat,4.0,0.4,40.0,15.0,267.0,1,1.0,40.0,50.0,0.0,0.0,80.0,2.0,no,0.0,0.0,0.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2,1,HeartUpMySleeves,1,3,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Detachable Sleeves,2021.0,1,0.0,1.0,0.0,0.0,Young,Delhi,Delhi,0.0,2.0,25.0,10.0,250.0,1,1.0,25.0,30.0,0.0,0.0,83.0,2.0,no,0.0,0.0,0.0,0.0,0.0,12.5,15.0,0.0,12.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
3,1,TagzFoods,2,4,2021-12-20,2022-02-04,Rannvijay Singh,Food,Healthy Potato Chips Snacks,2019.0,2,2.0,0.0,0.0,0.0,Middle,Bangalore,Karnataka,700.0,0.0,70.0,1.0,7000.0,1,1.0,70.0,2.75,0.0,0.0,2545.0,1.0,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,2.75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
4,1,HeadAndHeart,2,5,2021-12-20,2022-02-04,Rannvijay Singh,Education,Brain Development Course,2015.0,4,1.0,3.0,0.0,1.0,Middle,Patiala,Punjab,30.0,0.0,50.0,5.0,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
5,1,Agritourism,2,6,2021-12-20,2022-02-04,Rannvijay Singh,Agriculture,Tourism,2005.0,2,1.0,1.0,0.0,1.0,Middle,Baramati,Maharashtra,79.0,0.0,50.0,5.0,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
6,1,qZenseLabs,3,7,2021-12-20,2022-02-04,Rannvijay Singh,Food,Food Freshness Detector,2020.0,2,0.0,2.0,0.0,0.0,Middle,"Delhi,Mohali","Delhi,Punjab",25.0,15.0,100.0,0.25,40000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
7,1,Peeschute,3,8,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Disposable Urine Bag,2019.0,1,1.0,0.0,0.0,0.0,Young,Jalna,Maharashtra,100.0,0.0,75.0,4.0,1875.0,1,1.0,75.0,6.0,0.0,0.0,1250.0,1.0,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
8,1,NOCD,3,9,2021-12-20,2022-02-04,Rannvijay Singh,Food,Energy Drink,2019.0,2,2.0,0.0,0.0,0.0,Middle,Bangalore,Karnataka,0.0,20.0,50.0,2.0,2500.0,1,1.0,20.0,15.0,30.0,0.0,133.0,1.0,yes,0.0,0.0,0.0,0.0,0.0,20.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
9,1,CosIQ,4,10,2021-12-20,2022-02-04,Rannvijay Singh,Beauty/Fashion,Intelligent Skincare,2021.0,2,1.0,1.0,0.0,1.0,Middle,Delhi,Delhi,0.0,4.0,50.0,7.5,667.0,1,1.0,50.0,25.0,0.0,0.0,200.0,2.0,no,0.0,0.0,0.0,0.0,0.0,25.0,12.5,0.0,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
